1	2
1	3
1	4
1	5
1	6
1	7
2	3
2	4
2	5
2	6
2	7
3	4
3	5
3	6
3	7
4	5
4	6
4	7
5	6
5	7
6	7
1	8
1	9
1	7
8	9
8	7
9	7
1	4
1	2
1	10
1	3
1	12
1	7
4	2
4	10
4	3
4	12
4	7
2	10
2	3
2	12
2	7
10	3
10	12
10	7
3	12
3	7
12	7
1	2
1	4
1	10
1	3
1	12
1	7
2	4
2	10
2	3
2	12
2	7
4	10
4	3
4	12
4	7
10	3
10	12
10	7
3	12
3	7
12	7
1	3
1	12
1	7
3	12
3	7
12	7
1	3
1	12
1	13
3	12
3	13
12	13
1	2
1	4
1	14
1	15
1	16
1	10
1	3
1	12
1	5
2	4
2	14
2	15
2	16
2	10
2	3
2	12
2	5
4	14
4	15
4	16
4	10
4	3
4	12
4	5
14	15
14	16
14	10
14	3
14	12
14	5
15	16
15	10
15	3
15	12
15	5
16	10
16	3
16	12
16	5
10	3
10	12
10	5
3	12
3	5
12	5
1	4
1	14
1	2
1	15
1	16
1	10
1	3
1	12
1	7
4	14
4	2
4	15
4	16
4	10
4	3
4	12
4	7
14	2
14	15
14	16
14	10
14	3
14	12
14	7
2	15
2	16
2	10
2	3
2	12
2	7
15	16
15	10
15	3
15	12
15	7
16	10
16	3
16	12
16	7
10	3
10	12
10	7
3	12
3	7
12	7
1	18
1	19
1	20
1	21
18	19
18	20
18	21
19	20
19	21
20	21
1	9
1	17
9	17
1	9
1	22
9	22
1	9
1	17
9	17
1	9
1	17
9	17
1	9
1	17
9	17
1	9
1	17
9	17
1	9
1	23
9	23
1	17
1	9
1	17
9	17
1	24
1	17
1	9
24	17
24	9
17	9
1	24
1	17
1	9
24	17
24	9
17	9
1	25
1	26
1	24
1	9
1	17
25	26
25	24
25	9
25	17
26	24
26	9
26	17
24	9
24	17
9	17
1	27
1	9
1	17
27	9
27	17
9	17
1	26
1	28
26	28
